question;reponse;reponse
Pour toute question ou problème URGENT : n'utilisez pas les sms, APPELEZ NOUS AU 01.00.00.00.00 24h/24. En dehors d'une urgence, vous pouvez également appeler l'infirmière de coordination de chirurgie dont le numéro est agrafé sur la pochette de sortie;73;a ajouté un J'adore Pour toute question ou probléme URGENT : n'utilise...
Hopital Avicenne : Votre opération est prévue le **/date_demarrage_date**/ en chirurgie ambulatoire. Si vous avez un empechement ou un problème de santé, répondez ALERTE à ce SMS. Nous vous enverrons l'heure de convocation la veille vers 14H. Un accompagnant est obligatoire pour votre sortie;65;Annulé le rendez-vous je suis malade merci de votre compréhension
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;115;Tout vas bien  merci  au docteur  doe et  la l infirmière qui  c est occupée de  moi bonne journée  merci md fleury
Comment évaluez-vous la prise en charge du manipulateur radio sur une échelle de 1 à 5 (1: très insatisfait - 5: très satisfait);34;trés satisfait je met la note de 5
Suite à votre intervention à l'Hopital John Mondor, si tout va bien répondez TVB;18;TVB merci beaucoup
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;17;0k merci beaucoup
CH Valenciennes : Bonjour, suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;11;Tou va bien
Suite à votre intervention à l'Hopital Bichat, si tout va bien répondez dès que possible TVB;42;bonjour tous s'est bien passé merci à vous
Hopital Port Royal: Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;12;Tout va bien
Comment évaluez-vous la prise en charge du manipulateur radio sur une échelle de 1 à 5 (1: très insatisfait - 5: très satisfait);16;Trés satisfait 5
CH de Chartres: Suite à votre intervention, si tout va bien (pas de douleur, pas de saignement, pas d'hématome) répondez TVB sinon AID. Si vous avez été hospitalisé à la suite de votre examen tapez MED;45;TVB.  ça tire juste 1 petit peu. Supportable.
CHU d'Angers : Suite à votre opération, si tout va bien, répondez TVB;43;Vision floue , normal d'après le pharmacien
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous avez des douleurs sur votre œil, répondez DOUL;99;Sans mes médicaments DOUL même si c'est mieux qu'hier. Donc j'attend 1 ou 2 jours avant de trancher
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;107;Pouvez vous me confirmer le rdv de 18 juin à 11h20. Le secrétariat était fermé à la sortie de l operaration
CH Pau : Suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;65;TVB merci pour vos soins et votre gentillesse. Très bonne journée
Merci de votre réponse. Nous vous souhaitons un bon rétablissement;26;Merci de votre Gentillesse
Suite à votre examen à l'hopital Saint-John, si tout va bien répondez dès que possible TVB;35;Oui mais je suis enrhumée merci bcp
HPNL: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;44;Bonjour  Maux de ventre  Nausées et diarrhée
Pourriez-vous nous en dire un peu plus en nous indiquant les raisons de votre insatisfaction svp ?;152;Manque d 'information quand vous êtes au bloc , trop rapide, les infirmières en nombre insuffisant,en ce qui me concerne j aurais souhaité être rassurée
Hopital John Gregoire Montreuil : suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;37;Oui tout va bien pour le moment merci
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;329;AID Bonjour,je gère la douleur, pas de saignements, langue côté gauche toujours aussi gonflée.  Après, j'aurais besoin de savoir si mon Dentifrice (Sanogyl Répare et protège) ainsi que mon traitement quotidien Fluogel (le soir dans des gouttières) sont compatibles avec PAROEX? Vous remerciant par avance. Cordialement, John John
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;19;TVB MERCI POUR TOUT
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 7h00 à 19h du lundi au vendredi. En dehors de ces horaires, le week-end et jours fériés, reportez-vous au numéro à l'intérieur du passeport ambulatoire;25;OK merci à toute l'équipe
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB sinon répondez AID;16;J'ai répondu TVB
Suite à votre intervention à l'HEGP, si tout va bien répondez dès que possible TVB;28;Tout va bien rien à signaler
Hopital Avicenne : Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;91;TVB mais je n'arrêtais pas de vomir à cause du Doliprane dés que j'ai arrêté j'allais mieux
Votre rdv va être annulé, si vous souhaitez reprogrammer votre examen, répondez RDV dès maintenant et une secrétaire vous recontactera dès que possible;32;Non nous gardons ce rendez vous.
Suite à votre intervention à l'Hopital Lariboisière, si tout va bien répondez TVB;62;TVB, j'ai l'oeil qui est complétement fermé qu'est-ce normal ?
Suite à votre intervention à l'Hopital Lariboisière, si tout va bien répondez TVB;49;Je remerci toutes l'équipe de bloc opératoire TVB
Evaluez votre passage au service de neuroradiologie sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);24;10:extrêmement Satisfait
Suite à votre intervention à l'Hopital Jane Paré, si tout va bien répondez TVB;51;Bonjour, l'oeil est tout rouge, mais pas douloureux
Suite à votre intervention à l'Hopital John Verdier, si tout va bien répondez TVB;16;Ca va  tres bien
Merci de votre réponse. Pour toute question relative à votre intervention vous pouvez nous joindre pour l'Ambulatoire-1 01.00.00.00.00 et pour l'Ambulatoire RDC 01.00.00.00.00 de 7H30 à 19H30 du lundi au vendredi;32;J'en prend compte...Cordialement
Merci de votre réponse. Nous vous souhaitons un bon rétablissement;122;Merci à vous   J ai étais très bien pris en charge par tous le personnels  du premier étage du bloc et aussi le 6ème merci
Hopital Bicetre: Si un test PCR vous a été demandé lors de la consultation d'anesthésie apportez le résultat imprimé et réalisé 72h au maximum avant votre examen (test antigénique non accepté);40;Aucune demande de test PCR. Cordialement
Merci pour votre réponse, n'hésitez pas à nous appeler au 01.00.00.00.00, une infirmière sera à votre écoute 7 jours sur 7, 24/24;12;??????????€?
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;18;TVB pouf le moment
Merci de votre réponse et bon rétablissement. N'oubliez pas votre rendez-vous de suivi post opératoire.  Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h30 à 18h. En dehors de ces horaires  contactez les urgence ophtalmiques à HEH au 01.00.00.00.00;20;Merci  Bonne journée
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous avez des douleurs sur votre œil, répondez DOUL;12;Ja pod japon
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous voyez moins bien qu'hier répondez VOI. En cas de sensation de douleur en coup de tonnerre ou d'œil dur répondez DUR;39;Operation reportee au 25 o6 2024  merci
Hopital Cochin : Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;13;TVB,,,,,merci
Vous n'avez pas confirmé votre hospitalisation du  **/date_demarrage_date**/, pour cela répondez par OUI à ce SMS;38;Oui je viendrai pour le 10 07 24 merci
Suite à votre intervention à l'Hopital John Mondor, si tout va bien répondez TVB;24;Tvb un peu fatigué merci
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;29;erreur sur la date de mon rdv
Merci de votre réponse. Nous vous souhaitons une bonne convalescence;15;Merci beaucoup.
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;36;TVB  Merci pour votre bienveillance.
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG. Pour tout autre problème médical répondez AUT;36;La douleur est évaluée à 9/10 et AUT
Hopital Port Royal: Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;22;Tou va trés bien merci
HPNL: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;97;Bonjour , oui tout va bien pour le moment , merci , bonne journée,  cordialement , John Sifoni  .
Pitié Salpétrière - Suite à votre intervention à l'Hopital de la Pitie Salpetriere, si tout va bien répondez TVB;11;Bonjour,TVB
Merci de votre réponse. Nous vous souhaitons une bonne convalescence;14;Merci beaucoup
Vous avez rendez-vous à l'hopital John Roux APHP, à Limeil-Brévannes, pour un Scanner le **/date_demarrage**/. Si vous ne pouvez pas venir à ce rendez-vous, répondez ALERTE;150;"Tu as rendez vous pour un scanner à John ROUX le 19/06/24 à 10h. Le message dit que si tu ne peux pas venir à ce rendez vous il faut répondre ""ALERTE"""
"Afin d'améliorer la qualité de notre prise en charge, dites-nous si vous etes satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital Bicetre. Merci de répondre SEULEMENT un chiffre de 0 à 10 (0: pas satisfait du tout ; 10: extremement satisfait). Si vous le souhaitez, envoyez-nous un commentaire en envoyant un deuxième SMS";12;7. Satisfait
Suite à votre intervention, si tout va bien répondez TVB sinon répondez AID;97;TVB  mais je n ai pas eu mon bulletin de situation,  comment puis-je le récupérer ? Merci V.Chenu
Hopital Privé Parly 2: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;11;TVB.  Merci
CH de Haguenau: Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID ;118;Tout va bien, bonne nuit, bon réveil ! Merci à toute l'équipe,je vous souhaite une bonne et belle journée ensoleillée.
Hopital Pontchaillou: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;49;Je ne sais pas il faut voir avec la tauvrai merci
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;91;Consultation particulière ce matin avec Dr Popescu cause problème suite opération cataracte
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;43;MERCI BEAUCOUP POUR VOTRE COTE TRES HUMAIN.
Hopital John Gregoire Montreuil : suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;27;Je vous remercie Ça va bien
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB sinon répondez AID;18;Tout va bien merci
CH de Haguenau: Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID ;11;TVB.merci .
CH Valenciennes : Bonjour, suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;17;Bonjour TVB merci
Etes-vous satisfait de votre prise en charge à l'Hopital Privé John Cartier ? Répondez un chiffre (1: pas du tout satisfait à 5: très satisfait);16;5 très satisfait
Hopital Privé John Cartier : Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;16;John Millet, TVB
Polyclinique du Parc Drevon: Suite à votre intervention si tout va bien répondez TVB sinon répondez AID;23;TVB merci bonne journée
Hopital John Cartier : Nous vous attendons le **/date_demarrage_date**/ pour votre intervention. Votre horaire de convocation vous sera transmis la veille de votre intervention. Un accompagnant est obligatoire pour votre sortie et votre première nuit à domicile. En cas d'empechement ou de modification de votre état clinique, répondez ALERTE;20;Non erreur de ma par
Pourriez-vous nous en dire un peu plus en nous indiquant les raisons de votre insatisfaction svp ?;106;J'ai rempli une fiche de satisfaction pas satisfaite de l'option chambre confort service non à la hauteur.
HPNL: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;36;TVB  merci de votre accueil et soins
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;19;confirmation de rdv
Hopital Cochin : Suite à votre intervention, si tout va bien répondez TVB sinon répondez AID;26;Hôpital Cochin.  TVB Merci
Clinique d'Argonay : Nous vous remercions de bien vouloir évaluer votre passage au sein de l'établissement sur une échelle de 0 à 5 (0 : pas du tout satisfait / 5 : extremement satisfait);22;Très satisfaite donc 5
Suite à votre examen à l'hopital Saint-John, si tout va bien répondez dès que possible TVB;92;Merci pour votre excellent accueil, vos équipes super pro et chaleureuses  Toit va très bien
Hopital Privé Parly 2: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;18;Tout và biem,merie
Hopital John Mondor : Votre **/examen**/ est prévue le **/date_demarrage_date**/. Un accompagnant est obligatoire pour votre sortie et votre première nuit au domicile. Pour annuler ce RDV, répondez ALERTE;86;Bonjour  C'est bien noté. Pouvez-vous me préciser si je dois être à jeun ou non. Merci
